transaction_id,store_name,sales_channel,product_category,units_sold,unit_price,discount_applied,campaign_id,campaign_channel,marketing_spend,campaign_exposure_status,customer_id,customer_segment,inventory_level,stockout_flag,revenue
3843, Central Mall,App,Accessories,3,60,40,CAMP-A,Social,50,Seen,CUST_2404,Loyal,Overstocked,Yes,180
1198, Central Mall,App,Men,1,60,40,CAMP-A,Paid Ads,400,Seen,CUST_2262,Loyal,Overstocked,Yes,48
6345, Central Mall,App,Men,1,40,40,CAMP-A,Social,50,Clicked,CUST_1410,Loyal,Understocked,No,40
2548, Central Mall,App,Shoes,2,120,40,CAMP-A,Email,50,Seen,CUST_1524,Loyal,Overstocked,Yes,240
586, Central Mall,App,Women,1,20,40,CAMP-A,Influencer,50,Clicked,CUST_2171,Loyal,Optimal,Yes,16
3443, Central Mall,App,Women,4,60,40,CAMP-A,Paid Ads,100,Clicked,CUST_831,Loyal,Understocked,Yes,168
6653, Central Mall,App,Women,1,40,40,CAMP-A,Paid Ads,400,Seen,CUST_1820,Loyal,Optimal,No,32
1751, Central Mall,App,Men,1,60,40,CAMP-A,Paid Ads,400,Seen,CUST_115,Loyal,Overstocked,Yes,48
3350, Central Mall,App,Men,2,40,40,CAMP-A,Social,50,Converted,CUST_1283,Loyal,Understocked,No,80
5237, Central Mall,App,Men,1,60,40,CAMP-A,Paid Ads,200,Seen,CUST_641,Loyal,Overstocked,Yes,60
3721, Central Mall,App,Shoes,1,40,40,CAMP-A,Paid Ads,50,Converted,CUST_2272,Loyal,Overstocked,Yes,32
5002, Central Mall,App,Shoes,1,20,40,CAMP-A,Influencer,200,Seen,CUST_2031,Loyal,Understocked,No,20
6566, Central Mall,App,Shoes,2,20,40,CAMP-A,Paid Ads,400,Clicked,CUST_1613,Loyal,Understocked,No,32
10, Central Mall,App,Women,3,40,40,CAMP-A,Social,100,Clicked,CUST_1477,Loyal,Understocked,Yes,120
545, Central Mall,App,Women,1,60,40,CAMP-A,Email,200,Seen,CUST_1747,Loyal,Overstocked,Yes,60
6343, Central Mall,App,Men,1,40,40,CAMP-A,Paid Ads,400,Seen,CUST_1835,Loyal,Optimal,Yes,28
5280, Central Mall,App,Shoes,2,20,40,CAMP-A,Paid Ads,50,Clicked,CUST_105,Loyal,Understocked,Yes,40
